187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,152925,152925,152925,152925,152925,152925,152925,152925,158370,158370,158370,158370,158370,158370,158370,222535,222535,222535,222535,222535,222535,222535,90981,90981,90981,90981,218099,218099,218099,218099,218099,220021,220021,220021,220021,220021,220021,302884,302884,302884,302884,301796,301796,301796,301796,301796,301796,301796,301796,119227,119227,119227,119227,119227,86620,86620,86620,86620,86620,22817,22817,22817,22817,163764,163764,163764,163764,163764,217759,217759,217759,217759,55606,55606,55606,86233,86233,86233,86233,19985,19985,19985,19985,19985,156842,156842,156842,156842,18343,18343,18343,295784,295784,295784,295784,185237,185237,185237,185237,190119,190119,53254,53254,53254,50445,50445,50445,188154,188154,119221,119221,119221,119221,119221,299902,299902,87404,87404,87404,87404,230932,230932,230932,53225,53225,53225,21647,21647,21647,296608,296608,20737,20737,20737,223627,223627,223627,188473,188473,290345,157098,19462,19462,118937,21187,21187,165658,165658,165658,51973,50837,50837,51973,222059,21618,230059,230059,52739,52739,52739,20447,189335,18393,118521,157666,186100,293354,87409,190143,190143,22010,184537,186105,19569,187276,20839,164316,189330,188546,17212,52013,294442,184924,156010,186889,186492
152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,152925,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,156842,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,302884,302884,302884,302884,302884,302884,302884,302884,302884,302884,302884,302884,302884,302884,158370,158370,158370,158370,158370,158370,158370,158370,158370,158370,158370,158370,158370,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,299902,299902,299902,299902,299902,299902,299902,299902,299902,299902,19985,19985,19985,19985,19985,19985,19985,163764,163764,163764,163764,163764,163764,163764,163764,163764,163764,22817,22817,22817,22817,22817,22817,22817,295690,295690,295690,295690,295690,295690,295690,86233,86233,86233,86233,86233,21647,21647,21647,21647,21647,21647,21647,21647,165658,165658,165658,165658,118937,118937,118521,118521,118521,87404,87404,87404,290345,290345,290345,299732,299732,158642,158642,163748,163748,85057,157122,295520,86620,86620,158200,90639,90639,300252,300252,156010,296064,295784,295784,87409,87409,164316,295544,156554,299708,158768,297152,159312,296608,157666
187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,187785,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,222535,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,86233,19985,19985,19985,19985,19985,19985,19985,19985,19985,19985,22817,22817,22817,22817,22817,22817,22817,22817,21647,21647,21647,21647,21647,21647,21647,21647,290345,290345,290345,290345,86620,86620,86620,86620,86620,86620,86620,86620,86620,87404,87404,87404,87404,87404,87404,87404,87404,87404,118521,118521,118521,118521,118937,118937,296088,296088,157122,157122,90639,90639,90639,90639,90639,87409,87409,87409,87409,190143,190143,190143,190143,158768,158768,299708,299708,156010,156010,164316,164316,295520,295520,296608,296608,159856,159856,163204,159312,159312,163204,300252,300252,296064,296064,293354,293354,162956,162956,293898,293898,157098,157098,158200,158200,295544,295544,297152,297152,299732,299732,85444,85444,85444,157666,157666,156554,156554,163748,163748,294442,294442,85057
220021,220021,220021,220021,220021,220021,220021,220021,217759,217759,217759,217759,217759,217759,217759,217759,188473,188473,188473,188473,188473,188473,188473,188473,230932,230932,230932,230932,230932,230932,230932,51973,51973,51973,51973,51973,51973,51973,50445,50445,50445,50445,50445,50445,50445,50445,90981,90981,90981,90981,89356,89356,89356,89356,222059,222059,222059,222059,222059,222059,21187,21187,21187,21187,21187,217333,217333,217333,217333,50837,50837,50837,50837,50837,50837,18343,18343,18343,18343,18343,18343,18343,232505,232505,232505,55606,55606,55606,55606,55606,52773,52773,52773,52773,52773,52773,20737,20737,20737,20737,119227,119227,119227,119227,119227,119227,119227,218099,218099,218099,218099,218099,218099,185237,185237,185237,185237,187237,187237,187237,187237,230059,230059,230059,230059,230059,19462,19462,19462,19462,19462,53254,53254,53254,53254,53254,52739,52739,52739,223627,223627,223627,119221,119221,119221,53225,53225,53225,53225,52013,52013,52013,52013,52013,189335,189335,22407,22407,188551,188551,19961,19961,18785,18785,186105,186105,188546,188159,184537,184537,22010,22010,186100,186100,17609,184924,184924,187276,187276,190119,19569,20839,186889,186889,186492,186492,17212,185316,185316,186884,186884,21618,21618,188154,188154,189330,189330,20442,23186,18393
298075,298075,298075,298075,298075,298075,297532,297532,297532,297532,297532,297532,289364,289364,289364,161299,161299,161299,161299,146698,146698,146698,146698,151652,151652,298293,298293,299086,299086,299086,168222,168222,151720,151720,305266,305266,150755,150755,168149,168149,293319,293319,146735,146735,283978,283978,150379,150379,145847,145847,288091,288091,161245,161245,289427,289427,160139,160139,217417,217417,166465,166465,159183,286782,160429,160429,287203,287427,287427,295959,100999,151153,151153,148814,148814,304104,249412,151545,151545,152147,288297,145055,282919,285384,152731,283746,145104,289555,289555,158361,288609,286301,152857,288075,164467,285742,297041,50876,217809,152851,304416,304416,289819,157087,293225,148192,148192,294673,294673,152995,303785,163459,286168,148589,148735,287981,287801,287801,166099,288350,150925,166861,168188,291858,155082,157537,54498,302337,284493,148707,150789,150789,147280,147280,300413,288995,166371,300957,289654,150113,54503,304178,300963,166105,285776,150931,167678,167678,298565,148320,284464,302697,149877,286811,149854,301601,156265,287197,147917,148976,165011,168693,283780,287825,287825,146158,305759,305759,146409,291319,284827,284827,282375,152545,154266,289467,160157,293763,293763,153118,153118,155899,51273,149093,218593,302065,165555,287477,147285,166199,151709,284430,300147,299358,287689,163187,56071,285389,164739,287859
168149,168149,168149,168149,168149,168149,168149,145847,145847,145847,145847,145847,145055,145055,145055,305759,305759,305759,305759,298565,298565,298565,298565,295959,295959,295959,295959,160973,160973,160973,300241,300241,149127,149127,299086,299086,283978,283978,283978,283978,282919,282919,282919,154266,154266,287237,287237,287237,164745,164745,161795,161795,284493,284493,165011,165011,149877,149877,289654,289654,284453,284453,147917,147917,168693,168693,168693,303425,303425,295409,295409,305469,305469,158633,158633,294951,294951,294951,162283,162283,294579,100999,282375,282375,152545,304376,304376,304376,249412,288297,293219,293219,298293,158455,291319,300147,283439,163187,294679,161245,161245,302697,302697,157531,305192,305192,305192,162821,147541,147541,293763,293047,293047,152334,286037,155899,164009,164009,295137,156265,156265,159455,166099,166099,149883,304104,151761,151761,157087,157087,155999,286805,295143,150374,148707,148707,293225,285237,155082,291591,160139,288291,160429,297041,297041,165561,160157,160157,160157,163643,300963,164739,163099,292674,148309,156443,303513,162921,287507,150585,297047,146143,146143,300507,290467,287197,287197,304399,304399,148735,148735,293857,287203,164281,155359,290775,166105,287699,303147,288689,150579,157537,151971,165377,301793,163459,154810,291858,163731,293769,147536,165833,289262,287905,165283,149485,166371,293319,294673,164473
168693,168693,168693,168693,168693,168693,168693,168693,145847,145847,145847,145847,145847,145847,145847,145847,298293,298293,298293,298293,298293,168149,168149,168149,168149,168149,168149,168149,168149,282919,282919,282919,282919,282919,282919,299086,299086,299086,299086,299086,304399,304399,304399,304399,304399,304399,304399,160157,160157,160157,160157,160157,283978,283978,283978,283978,283978,283978,161245,161245,161245,161245,298565,298565,298565,298565,298565,298565,283439,283439,283439,283439,283439,305469,305469,305469,305469,305469,146143,146143,146143,160973,160973,160973,160973,160139,160139,160139,160139,145055,145055,145055,145055,282375,282375,282375,282375,282375,303513,303513,300413,300413,161795,161795,161795,161795,164739,164739,303785,303785,164281,164281,301793,301793,164745,164745,160429,160429,160429,160429,299969,299969,304376,304376,304376,305759,305759,305759,304104,304104,300241,300241,163465,163465,298814,298814,298814,165561,165561,302697,302697,301601,301601,164181,166105,166105,164473,165283,165283,303147,165377,165377,302875,302875,164187,300957,300957,166099,166099,146409,146409,146409,146409,166199,300963,300963,302337,302337,163099,163099,305192,305192,162821,299358,299358,300235,163365,163459,163459,303697,163187,302881,302881,166471,300507,300507,300147,300147,165833,301507,301507,299869,162643,166465,162283,163643,302065,300691,163731,166371
156265,156265,156265,156265,156265,156265,156265,156265,156265,157087,157087,157087,157087,294673,294673,294673,287203,287203,287203,287203,150379,150379,150379,295409,295409,295409,295409,149093,149093,149093,289654,289654,289654,158095,158095,295959,295959,295959,150789,150789,150789,150789,286811,286811,284493,284493,284493,284493,149877,149877,147531,147531,286845,286845,157081,157081,290775,290775,149127,149127,287197,287197,287197,158361,158361,289473,289473,284453,284453,284453,296775,296775,100999,100999,297041,297041,287237,287237,287237,291591,291591,295137,295137,294951,294951,294951,149109,149109,286805,286805,286037,286037,152147,150187,150187,152147,148735,148735,155082,155082,293047,293047,149485,149485,149485,289467,249407,289081,289081,154543,154543,158633,158455,158455,293763,156443,156443,159455,155899,155899,294585,295143,295143,147917,147917,294679,294679,153994,150977,285237,285237,149883,149883,293319,292674,292674,287699,151971,151971,154810,154810,288297,150585,148707,148707,159183,159183,153999,293219,293219,290467,290467,292135,151755,287905,148712,288091,156271,155359,152334,152334,147541,159549,157265,154815,152545,152545,291858,296231,296231,284464,284464,157537,157537,294851,294851,293769,292130,151761,288689,288689,294035,291319,157823,249412,157531,294579,158089,155999,289262,289262,288291,149519,154266,291586,147536,293857,150579,287507,147149
284453,284453,284453,284453,287203,287203,287203,287203,151971,151971,151971,151971,287237,287237,287237,287237,149485,149485,149485,149485,149877,149877,149877,149877,148707,148707,148707,148707,284493,284493,284493,284493,287197,287197,287197,287197,288689,288689,152147,152147,151947,151947,289654,289654,289654,289654,147917,147917,147917,147917,284464,284464,150789,150789,150789,150789,149093,149093,149093,149093,151761,151761,286845,286845,287507,287507,288091,288091,150374,150374,150379,150379,150379,150379,289262,289262,152545,152545,286805,290467,290467,286805,147531,147531,286811,286811,149127,149127,149883,149883,286037,286037,285237,285237,289473,289473,148712,148712,148712,148712,150187,150187,289467,289467,151755,151755,148309,148309,289081,289081,288297,288297,152339,152339,147149,147149,148735,148735,150585,150585,149525,149525,287699,287699,150977,150579,150579,150977,149519,149519,288291,288291,152334,152334,149109,149109,147541,147541,147541,147541,287905,287905,147536,147536
156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,156265,295409,295409,295409,295409,295409,295409,294673,294673,294673,294673,295959,295959,295959,295959,295959,295959,293047,293047,293047,293047,157087,157087,157087,157087,297041,297041,297041,297041,159183,159183,158361,158361,294951,294951,294951,294951,291586,291586,100999,100999,291858,291858,249412,249412,293763,293763,157531,157531,297047,297047,153999,153999,154815,154815,292130,292130,157823,157823,158455,158455,157265,157265,296775,296775,157081,157081,292674,292674,293769,293769,291591,291591,156271,156271,155359,155359,154543,154543,153994,153994,159549,159549,157537,157537,158633,158633,293219,293219,155082,155082,293319,293319,295137,295143,295143,295137,156443,156443,154810,154810,158089,158089,294679,294679,158095,158095,294585,294585,293225,293225,155899,155899,294579,294579,296231,296231,294851,294851,294035,294035,154266,154266,292135,292135,291319,291319,249407,249407,159455,159455,293857,293857,155999,155999,290775,290775
